;Date;Price;Open;High;Low;Vol.;Change %
245;Aug 23, 2018;124500;125500;126000;123000;228.00K;-1.19%
246;Aug 22, 2018;126000;125500;127000;124500;329.08K;0.40%
247;Aug 21, 2018;125500;127000;127500;124000;339.32K;-1.57%
248;Aug 20, 2018;127500;127500;128000;126000;310.82K;0.79%
249;Aug 17, 2018;126500;125500;127000;125000;207.71K;0.00%
250;Aug 16, 2018;126500;122000;127000;122000;319.23K;2.85%
251;Aug 15, 2018;123000;123000;123000;123000;-;0.00%
252;Aug 14, 2018;123000;124500;125000;122500;291.06K;-0.40%
253;Aug 13, 2018;123500;125000;126000;123000;319.01K;-1.98%
254;Aug 12, 2018;126000;126000;126000;126000;-;0.00%
255;Aug 10, 2018;126000;126000;127000;124500;194.26K;0.00%
256;Aug 09, 2018;126000;126500;127500;125500;531.64K;-1.18%
257;Aug 08, 2018;127500;125500;129500;125500;705.35K;2.00%
258;Aug 07, 2018;125000;124000;126000;123500;247.11K;0.40%
259;Aug 06, 2018;124500;124500;126000;124000;295.83K;0.40%
260;Aug 03, 2018;124000;124000;125500;124000;453.70K;-1.20%
261;Aug 02, 2018;125500;128000;128500;124000;425.00K;-2.33%
262;Aug 01, 2018;128500;130000;130500;128000;244.12K;-0.77%
263;Jul 31, 2018;129500;131000;131000;128500;306.37K;-0.77%
