;Date;Price;Open;High;Low;Vol.;Change %
198;Oct 19, 2018;270000;262000;270500;259000;232.51K;2.27%
199;Oct 18, 2018;264000;270500;272000;261500;240.92K;-2.76%
200;Oct 17, 2018;271500;268500;274000;267500;252.90K;2.07%
201;Oct 16, 2018;266000;266500;268000;263500;138.74K;0.19%
202;Oct 15, 2018;265500;265000;269000;264500;200.06K;0.19%
203;Oct 14, 2018;265000;265000;265000;265000;-;0.00%
204;Oct 12, 2018;265000;259500;269000;259000;305.09K;3.11%
205;Oct 11, 2018;257000;262000;268500;257000;459.42K;-5.51%
206;Oct 10, 2018;272000;273000;275000;270500;298.20K;0.18%
207;Oct 09, 2018;271500;271500;271500;271500;-;0.00%
208;Oct 08, 2018;271500;278000;281000;270500;308.07K;-2.69%
209;Oct 07, 2018;279000;279000;279000;279000;-;0.00%
210;Oct 05, 2018;279000;274500;281500;270000;371.04K;1.64%
211;Oct 04, 2018;274500;293000;295500;273000;693.60K;-6.63%
212;Oct 02, 2018;294000;295500;300000;293500;195.95K;-0.51%
213;Oct 01, 2018;295500;296500;297000;293500;132.85K;0.34%
214;Sep 30, 2018;294500;294500;294500;294500;-;0.00%
215;Sep 28, 2018;294500;304000;304000;294000;351.13K;-3.60%
216;Sep 27, 2018;305500;304000;307000;301500;343.43K;0.33%
217;Sep 26, 2018;304500;304500;304500;304500;-;0.00%
218;Sep 21, 2018;304500;302500;305000;300000;325.15K;2.01%
219;Sep 20, 2018;298500;299500;302500;293000;245.30K;0.00%
220;Sep 19, 2018;298500;303000;305500;296500;413.74K;0.67%
221;Sep 18, 2018;296500;290000;297500;290000;253.73K;1.19%
222;Sep 17, 2018;293000;295000;296000;292000;189.17K;-0.34%
223;Sep 16, 2018;294000;294000;294000;294000;-;0.00%
224;Sep 14, 2018;294000;293500;298000;293500;281.41K;0.34%
225;Sep 13, 2018;293000;292000;299000;289500;531.50K;0.51%
226;Sep 12, 2018;291500;295000;298000;291500;396.74K;-0.17%
227;Sep 11, 2018;292000;303000;304500;291500;680.49K;-3.95%
228;Sep 10, 2018;304000;306500;307500;304000;300.91K;-1.30%
229;Sep 09, 2018;308000;308000;308000;308000;-;0.00%
230;Sep 07, 2018;308000;311000;312500;307500;274.09K;-0.16%
231;Sep 06, 2018;308500;308000;312500;307500;255.68K;-0.32%
232;Sep 05, 2018;309500;313500;314000;309000;318.17K;-2.21%
233;Sep 04, 2018;316500;319500;319500;314000;249.22K;-0.94%
234;Sep 03, 2018;319500;323000;324500;318500;219.50K;-2.14%
235;Aug 31, 2018;326500;329000;330000;322500;289.80K;-1.80%
236;Aug 30, 2018;332500;331500;342000;324500;455.68K;0.30%
237;Aug 29, 2018;331500;329500;334000;328000;137.05K;0.30%
238;Aug 28, 2018;330500;325500;333000;324000;266.04K;1.69%
239;Aug 27, 2018;325000;321500;328500;320500;193.45K;1.88%
240;Aug 24, 2018;319000;315000;321000;312000;145.68K;0.63%
241;Aug 23, 2018;317000;324000;326500;317000;181.94K;-2.16%
242;Aug 22, 2018;324000;324000;331000;323500;157.37K;-0.61%
243;Aug 21, 2018;326000;321000;329500;320000;214.11K;1.56%
244;Aug 20, 2018;321000;317500;326000;315500;224.51K;2.56%
245;Aug 19, 2018;313000;313000;313000;313000;-;0.00%
246;Aug 17, 2018;313000;314500;315000;310000;164.59K;-0.16%
247;Aug 16, 2018;313500;311500;316500;307000;269.94K;-2.64%
248;Aug 15, 2018;322000;322000;322000;322000;-;0.00%
249;Aug 14, 2018;322000;319000;323500;319000;142.93K;0.94%
